time,open,high,low,close,Volume
1732547580,95.47,95.47,95.47,95.47,6
1732547640,95.47,95.47,95.47,95.47,5
1732547700,95.47,95.47,95.47,95.47,7
1732547760,95.47,95.47,95.47,95.47,3
1732547820,95.475,95.475,95.47,95.47,5
1732547880,95.47,95.47,95.47,95.47,2
1732547940,95.47,95.475,95.47,95.47,5
1732548000,95.47,95.47,95.47,95.47,2
1732548060,95.475,95.475,95.47,95.47,5
1732548120,95.47,95.47,95.47,95.47,1
1732548180,95.475,95.475,95.47,95.47,4
1732548240,95.47,95.47,95.47,95.47,1
1732548300,95.475,95.475,95.475,95.475,80
1732548360,95.47,95.475,95.47,95.47,118
1732548420,95.47,95.47,95.47,95.47,1
1732548480,95.47,95.47,95.47,95.47,1
1732548540,95.475,95.475,95.47,95.47,4
1732548600,95.47,95.47,95.47,95.47,1
1732548660,95.47,95.47,95.47,95.47,1
1732548720,95.47,95.47,95.47,95.47,3
1732548780,95.47,95.47,95.47,95.47,3
1732548840,95.47,95.47,95.47,95.47,4
1732548900,95.47,95.47,95.47,95.47,1
1732548960,95.47,95.475,95.47,95.475,3259
1732549020,95.475,95.475,95.475,95.475,797
1732549080,95.475,95.475,95.475,95.475,60
1732549140,95.475,95.475,95.475,95.475,307
1732549320,95.47,95.47,95.47,95.47,1
1732549380,95.475,95.475,95.475,95.475,2
1732549440,95.475,95.475,95.475,95.475,1
1732549620,95.47,95.47,95.47,95.47,1
1732549740,95.47,95.47,95.47,95.47,4
1732549800,95.475,95.475,95.475,95.475,1
1732549860,95.47,95.47,95.47,95.47,2
1732549920,95.475,95.475,95.475,95.475,9
1732550040,95.475,95.475,95.475,95.475,1
1732550280,95.475,95.475,95.475,95.475,114
1732550460,95.475,95.475,95.475,95.475,8
1732550760,95.475,95.475,95.475,95.475,3315
1732550940,95.47,95.47,95.47,95.47,19
1732551180,95.475,95.475,95.475,95.475,600
1732551420,95.475,95.475,95.475,95.475,200
1732551600,95.47,95.47,95.47,95.47,1
1732551660,95.47,95.47,95.47,95.47,1
1732551780,95.47,95.47,95.47,95.47,1
1732552140,95.475,95.475,95.475,95.475,6
1732552500,95.475,95.475,95.475,95.475,5
1732553760,95.475,95.475,95.475,95.475,1
1732553880,95.475,95.475,95.475,95.475,34
1732553940,95.47,95.47,95.47,95.47,1
1732554000,95.47,95.47,95.47,95.47,1
1732554060,95.47,95.47,95.47,95.47,1
1732554120,95.47,95.475,95.47,95.475,2
1732554240,95.47,95.475,95.47,95.475,2
1732554300,95.47,95.47,95.47,95.47,1
1732554360,95.475,95.475,95.475,95.475,1
1732554420,95.47,95.47,95.47,95.47,1
1732554540,95.47,95.47,95.47,95.47,1
1732554600,95.47,95.47,95.47,95.47,1
1732554660,95.47,95.47,95.47,95.47,1
1732554840,95.47,95.47,95.47,95.47,1
1732555080,95.47,95.47,95.47,95.47,1
1732555140,95.475,95.475,95.475,95.475,18
1732555200,95.475,95.475,95.475,95.475,7
1732555260,95.47,95.47,95.47,95.47,1
1732555380,95.47,95.47,95.47,95.47,1
1732555500,95.47,95.47,95.47,95.47,1
1732555620,95.47,95.47,95.47,95.47,1
1732555740,95.475,95.475,95.47,95.47,13
1732556160,95.47,95.475,95.47,95.475,15
1732556340,95.47,95.47,95.47,95.47,1
1732556520,95.47,95.47,95.47,95.47,1
1732556700,95.47,95.47,95.47,95.47,1
1732556940,95.47,95.47,95.47,95.47,1
1732557060,95.475,95.475,95.475,95.475,3
1732557300,95.475,95.475,95.475,95.475,600
1732557360,95.475,95.475,95.475,95.475,161
1732557480,95.475,95.475,95.47,95.47,9
1732557540,95.475,95.475,95.47,95.47,76
1732557600,95.475,95.475,95.475,95.475,1
1732557720,95.475,95.475,95.475,95.475,400
1732557840,95.475,95.475,95.475,95.475,59
1732557960,95.475,95.475,95.475,95.475,30
1732558080,95.475,95.475,95.475,95.475,1
1732558260,95.475,95.475,95.475,95.475,14
1732558440,95.475,95.475,95.475,95.475,31
1732558500,95.475,95.475,95.475,95.475,1
1732558560,95.475,95.475,95.475,95.475,9
1732558620,95.47,95.475,95.47,95.475,2
1732558680,95.475,95.475,95.475,95.475,16
1732558740,95.47,95.475,95.47,95.475,2
1732558860,95.475,95.475,95.475,95.475,2
1732558920,95.47,95.47,95.47,95.47,1
1732558980,95.475,95.475,95.475,95.475,1
1732559160,95.47,95.47,95.47,95.47,1
