time,open,high,low,close,Volume
1725228000,95.69,95.69,95.69,95.69,2
1725231720,95.69,95.69,95.69,95.69,6
1725235560,95.685,95.685,95.685,95.685,48
1725235980,95.685,95.685,95.685,95.685,3
1725236520,95.685,95.685,95.685,95.685,1
1725236940,95.685,95.685,95.685,95.685,5
1725237120,95.685,95.685,95.685,95.685,19
1725237180,95.685,95.685,95.685,95.685,3
1725237420,95.685,95.685,95.685,95.685,1
1725238500,95.685,95.685,95.685,95.685,4
1725238560,95.685,95.685,95.685,95.685,3
1725240000,95.685,95.685,95.685,95.685,6
1725240420,95.685,95.685,95.685,95.685,3
1725242640,95.685,95.685,95.685,95.685,5
1725243600,95.685,95.685,95.685,95.685,5
1725244860,95.68,95.68,95.68,95.68,18
1725244920,95.68,95.68,95.68,95.68,22
1725245460,95.685,95.685,95.685,95.685,30
1725246780,95.685,95.685,95.685,95.685,1
1725247200,95.68,95.68,95.68,95.68,107
1725247260,95.68,95.68,95.68,95.68,25
1725248460,95.68,95.68,95.68,95.68,1
1725250260,95.68,95.68,95.68,95.68,11
1725256860,95.675,95.675,95.675,95.675,7
1725258000,95.675,95.675,95.675,95.675,1
1725258240,95.675,95.675,95.675,95.675,5
1725260940,95.68,95.68,95.68,95.68,15
1725264360,95.68,95.68,95.68,95.68,30
1725265680,95.675,95.675,95.675,95.675,11
1725265740,95.675,95.675,95.675,95.675,4
1725266460,95.675,95.675,95.675,95.675,3
1725266520,95.675,95.675,95.675,95.675,3
1725267780,95.675,95.675,95.675,95.675,3
1725268380,95.675,95.675,95.675,95.675,1
1725268800,95.675,95.675,95.675,95.675,2
1725268920,95.675,95.675,95.675,95.675,11
1725270540,95.675,95.675,95.675,95.675,4
1725270660,95.675,95.675,95.675,95.675,9
1725272340,95.675,95.675,95.675,95.675,34
1725272400,95.675,95.675,95.675,95.675,8
1725274020,95.68,95.68,95.68,95.68,18
1725275580,95.675,95.675,95.675,95.675,200
1725277440,95.675,95.675,95.675,95.675,200
1725279300,95.68,95.685,95.68,95.685,616
1725279360,95.685,95.685,95.685,95.685,5
1725281400,95.68,95.68,95.68,95.68,19
1725281640,95.68,95.68,95.68,95.68,150
1725282240,95.68,95.68,95.68,95.68,13
1725282480,95.68,95.68,95.68,95.68,2
1725282900,95.68,95.68,95.68,95.68,5
1725283500,95.68,95.68,95.68,95.68,6
1725283800,95.68,95.68,95.68,95.68,5
1725284640,95.68,95.68,95.68,95.68,250
1725285240,95.68,95.68,95.68,95.68,2
1725285300,95.68,95.68,95.68,95.68,4
1725285360,95.68,95.68,95.68,95.68,4
1725285960,95.68,95.68,95.68,95.68,113
1725286500,95.68,95.68,95.68,95.68,9
1725287100,95.68,95.68,95.68,95.68,15
1725314520,95.68,95.68,95.68,95.68,9
1725314580,95.68,95.68,95.68,95.68,3
1725314700,95.68,95.68,95.68,95.68,19
1725322980,95.68,95.68,95.68,95.68,79
1725323100,95.68,95.68,95.68,95.68,4
1725323160,95.68,95.68,95.68,95.68,3
1725325080,95.68,95.68,95.68,95.68,6
1725325620,95.68,95.68,95.68,95.68,3
1725326220,95.68,95.68,95.68,95.68,4
1725330840,95.68,95.68,95.68,95.68,4
1725339960,95.68,95.68,95.68,95.68,14
1725343080,95.68,95.68,95.68,95.68,2
1725343200,95.68,95.68,95.68,95.68,5
1725344400,95.68,95.68,95.68,95.68,2
1725344760,95.68,95.68,95.68,95.68,11
1725346980,95.68,95.68,95.68,95.68,240
1725348060,95.68,95.68,95.68,95.68,3
1725348240,95.68,95.68,95.68,95.68,73
