slug,event_slug,volume,Condition,Yes,No,outcomeYes,outcomeNo
fed-decreases-interest-rates-by-25-bps-after-july-2025-meeting,fed-decision-in-july,795522.919065,0x812d8819cda5c57e824719de0381d8e207a45b5b71da31a6425f6c2f181a3fc4,"44274863594881419064755425975616427905570818290480331177906247008783209380302","35582864406073880931833314376109630127445954336393725126252111896715841195740","0.165","0.835"
no-change-in-fed-interest-rates-after-july-2025-meeting,fed-decision-in-july,922663.121993,0x4a68d828f7263f34391484404380c34efa9566f12a08a88553ddbe8e285c3ae9,"73793697275923646355831824753345919471011673129768736520616870696302293395247","108985814621083654149844269248799508997175971432517497471669614770134583560621","0.81","0.19"
fed-increases-interest-rates-by-25-bps-after-july-2025-meeting,fed-decision-in-july,728050.53927,0x362c61cfb577a719526b03e7596a3ef3d6d9aadf5292e2e2391c2cdf62892730,"100067677053694812730460296850221451830656965871151478092125776330632208052828","57796925129236545184483223935379032609281052550974458723714516669872225271196","0.0065","0.9935"
fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,fed-interest-rates-september-2024,10906333.42219,0x6cc501fa617e3a46ececf6e3990fe1afeeaa6bc897d3c7049c005fd1bdc42c2f,"106191328358576540351439267765925450329859429577455659884974413809922495874408","9214127416164770663428045171731158534317583924108886506080862617439489581164","1","0"
fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,fed-interest-rates-september-2024,6660914.249885,0x70357debf15a956d82d8b2022aaf5f868763d1d0716d2c6e5ce35712e49a3b0f,"88244443360063235221444316604590968694314258311386447899087521723508440858841","68670890969542385995453083110367487631448978600988239315882323042259997093658","0","1"
no-change-in-fed-interest-rates-after-2024-september-meeting,fed-interest-rates-september-2024,23499210.730061,0xb20072387cd12bc73f3a6fd30fdd5aa1644c8f72f958803d90fc05c51db0ac49,"89262722133387845193166560202808972424089924545438804960915341631492994906283","33507963070620649762144944331241609312903313601210934738148421620353685107636","0","1"
fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,fed-interest-rates-september-2024,17625581.465252,0x0a533c938200a10df86423dfbe621a2f36bfd4abc457615cf4992ed721c566bf,"95823178650727331613915203831778682038645976746731326695569990405131199144192","22975325364139703836483070412535421663459933235801997078698722577155796494270","0","1"
fed-decreases-interest-rates-by-25-bps-after-may-2025-meeting,fed-decision-in-may-2025,21653201.774564,0xc5821602b440e61665dce5dcdc0fd20153864ba185d26a13e9be80fe98bb9e97,"26743053013371365007476551740114280533872198414218154821939946443052738700427","46427314982690900148482746737016368405968699801898624292882516041999385167082","0","1"
fed-decreases-interest-rates-by-50-bps-after-may-2025-meeting,fed-decision-in-may-2025,22089574.500042,0x10bb455936cf8f22777bdb8d3a1b97760cae2215d60c15001c5d252c0f26478e,"10794957769206219547174568045572239474096710780259256507519900112979835465721","27981687390827806168890380876403949931406164510761568138358607281408331693721","0","1"
no-change-in-fed-interest-rates-after-may-2025-meeting,fed-decision-in-may-2025,20629387.641397,0xffffb2874475ae9c1e3a0e3c3c4b4e329eb3105427aa484f357bf41c5fd77c4f,"11948977256049640505529515118442328278366541768796561243240603850147585003221","37751409168070890064130120440261893477731574247683404267820510185194430319527","1","0"
fed-increases-interest-rates-by-25-bps-after-may-2025-meeting,fed-decision-in-may-2025,24000661.535559,0xbf1e237a1e8cbf9c0b454dc984f5dc789f57f85b077a6a7383489b00b75dc4af,"17610439523131859020845982375845064429205150380820600510254792864187410085009","110884715026302001152302604004993790698307635767709984192944159418964296924679","0","1"
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,fed-interest-rates-january-2024,11073.89907,0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,"59161453739548749506626935916785382180160388335096779498212302359864194982839","73186635410246392857006846302471547746435727607292452979995753918323557387952","1","0"
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,fed-interest-rates-january-2024,58887.595421000005,0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,"7456327969315783330931352336688009175553298805923726402105094902683565728372","61261108154188554068415889997843548833290904163268333664707838611169937840545","0","1"
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,fed-interest-rates-january-2024,13148.333332,0x26000a18ec71be1c8dc92eeb52d274d561da9081bdae520968bb27f80ed453df,"51882881036400115365960749695803801468287449607744554859820244759346785471919","52523979217315432752683627714507510844376099776707024236171901768544983513386","0","1"
will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,fed-interest-rates-july-2022,72110.205955,0xb373ae00ee4f2b1617ebde91c2f2b7e69c5aa97a23d8a2744699e4f820f6091f,"43851758586019338099849819053664996093777525227145784826443012221740850285266","38252424751902416145549421149776904628423937258311328527816786961380607825091","0.9999992124698905851921949325976182","0.0000007875301094148078050674023817969789"
will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,fed-interest-rates-july-2022,309491.361345,0x9b6fb33000fc1ce2cfea7f7606458fa5de55cfa850f5a18c2bee4b5e97a41fb9,"60058966672018329359047891447770829395801286570032394503642425009951844878078","73511827522445110746527346678074393256909053549515816767387893793017634308268","0.9999985414696615449647517071240132","0.000001458530338455035248292875986848888"
will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,fed-interest-rates-july-2022,321355.812471,0xcb4180f96da6ebecc518ae5a181dec9dea9b78d38112c66e4b0e5a53194cf197,"98159863536459105246329884199117347324858346217046139081130064325426692851747","106563477720398683646058783637576249196412492416363492395613682294821000390864","0.000001506755425447196244188766818544717","0.9999984932445745528037558112331815"
will-the-fed-set-interest-rates-above-0p5-following-their-scheduled-march-meeting,fed-interest-rates-march-2022,61552.258777,0xacf7b4aa8b1d11f1c3e2e40d5b6ac62278e66a2604a27a4cf1765846155ebf69,"21899810599789258632913154324655796706984895090888226213953489972315337780207","101868209400733943697800007325662712903397505258841206185841230597554610495665","0.0000004402134112116843456413292978633575","0.9999995597865887883156543586707021"
will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,fed-interest-rates-december-2023,29458.058773,0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,"12408230057550388631927572995498874087256748510441651102756939481228298956369","6197481189033769568626680072622228905698064013605526615840685296396952665260","1","0"
will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,fed-interest-rates-december-2023,27152.23446,0x5d0c7869d6bbd5c926178c5ebb2c1ab1afa3e1b04bd036bcde5573481e3998c0,"115570981123842187496894360626945622467149923579919003091466749371113066796130","77552040852776799051437593597446435884981722751330016738803930489545113745822","0","1"
fed-decreases-interest-rates-by-50-bps-after-march-2025-meeting,fed-decision-in-march,22150914.603213,0x5dbbf4cbb4cbca7c5967bfe92c0bd1667ac508fecb1e548c01def1a8cb43ea53,"59500043981638253528854819796350757181716737470693576068597643626706510223839","53827210122848802553752764552357021508542175671336446697980210427171312978827","0","1"
fed-decreases-interest-rates-by-25-bps-after-march-2025-meeting,fed-decision-in-march,17180913.164155,0xeed6da09683149b433aeb802bd8d3f78a6b6d8799fa75bd0d73c3f87c6b2b592,"89116530978908711797607850110372348932106298082008228479003610418450546304140","31361078953599085620148709414894486777711482989707029427747081469972237802868","0","1"
no-change-in-fed-interest-rates-after-march-2025-meeting,fed-decision-in-march,17161804.938166,0xef5604329fee713a68f4faa9d3014614c7486525864a11f2ebb054179a0c362e,"36985952389507121027489287608663328433585265985125393395085818029245397624615","84404545665642736163147199311465812729929064435437776471057885230010324444001","1","0"
fed-increases-interest-rates-by-25-bps-after-march-2025-meeting,fed-decision-in-march,21544318.532625,0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00,"5678441977631356096576643767219853506662704132397324700379875824610338420737","74384045717921713926851299648820414700024667426425261397803198704608838497339","0","1"
will-the-fed-increase-interest-rates-by-75-bps-after-its-february-meeting,fed-interest-rates-february-2023,5413.838178999999,0xc420b0080de735a6d244f694bd8c5331cd48e007aa774f25551f3afc8efb8383,"92102504882721078292711727586829784891874603520563569118796610254480436864224","22836153362828487281193732321408465359429588126437449158076945857786744021301","0.000002601882357381935668341308418742422","0.9999973981176426180643316586915813"
will-the-fed-increase-interest-rates-by-0-bps-after-its-february-meeting,fed-interest-rates-february-2023,11578.306068,0x9412b855478d1dc1ba433a18de8bd082dc22b0c3a30c01f307016c2a07c11572,"50840823040491579160844190313425221953810324677596615897772385992533441988174","16798240954217468982314816692525171780336564048408465031845768835317554113348","0.0000007777373026389622226700214469472313","0.9999992222626973610377773299785531"
will-the-fed-increase-interest-rates-by-50-bps-after-its-february-meeting,fed-interest-rates-february-2023,44782.055985,0x6a521500cd2c0494540dc059b3eb2f7fa5d2c91dc6f3756ba2aa7a3398aec42d,"47964004584107225500321701776265303926067511500178575227907010687520299492312","62967343644001571223328834674800489901536335509964710054658772388672665324223","0.000001812486942061523520344361786767144","0.9999981875130579384764796556382132"
will-the-fed-increase-interest-rates-by-25-bps-after-its-february-meeting,fed-interest-rates-february-2023,26746.534744,0x5ef7d98e2b55953be12acc6aa5c13129bfef55a0e48b14ac0f479e08981f9bd1,"102122366921728883686007723122183182680201356871652918420191682492250640822215","1097955942803140332889254003124615337602080239229284846512443678670566232194","0.9999975187944877779585848160437913","0.000002481205512222041415183956208666719"
fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,fed-interest-rates-january-2025,48840781.093981,0x64123306a517e078fa636231a9cc9339a46bcfe3fadf62c92fdb031881c5d0d8,"62581913645348789773642673351236526494908268639101055154490962144556865258375","17236344785142893910230410579976386010600761811866369411443978881334968280338","0","1"
fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,fed-interest-rates-january-2025,42815445.766141,0x7883a3c40bb01cbd3b9ec9e3b73d75af705e300c9369f27178739cf3f4fa089a,"70018807773238020915361161897719073078804647330583488591369599275024873820020","38040810336402647860524961857216751324740229233874430685472918943584669196682","0","1"
fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,fed-interest-rates-january-2025,21247359.999879,0xf48f79d8e60ab1efa76e53bec8c005611bfdc097cc0e51dc2f612709c04f5acf,"74385256365261740991943052404976663449426970722774337626179714294936780155816","43676459548019945544891306427721605369693078423952852640943584984070260281567","0","1"
no-change-in-fed-interest-rates-after-january-2025-meeting,fed-interest-rates-january-2025,21033386.279391,0x4e0f29885709d63bfcff29e80f4a8df1da9e97906ba9e21577b46a70858d8e06,"71366065379283985882048015988468347304730977557386250301113872372802573107404","64300364193031824587552769823493469778718733602447265999703025404994006979266","1","0"
fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,fed-interest-rates-january-2025,56978076.059909,0x04e07c6085d96ecc1ac7568d6cb640f09e4d300a25afc763b67f15d8f2c8597c,"21716925607100566759590441552275430953978834416391952294923382480845557169897","111910413422671918936122538535145431385909364082485858588595246969087543566638","0","1"
fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,fed-interest-rates-july-2024,637520.066414,0x5b544e761863106ba78a3380ad72a06a0fa65e61daabf31dae7da443af129edc,"58489327197666729130888438447784692458397801742406884624482733019916335006485","59554035272971465220854776043160935814088961373397843604502416345214415162662","0","1"
fed-decreases-interest-rates-by-25-bps-after-july-2024-meeting,fed-interest-rates-july-2024,884827.576621,0x813e44dd1717ed1e1ccfa5f67b5e4d681f7a91cf12dfd8278608698f03b0f89d,"50006978152563856399785875225610673770033700288568382341623864478358375869194","56980038021693126179388145467467043305943982958663020089701063423381899122993","0","1"
no-change-in-fed-interest-rates-after-2024-july-meeting,fed-interest-rates-july-2024,517320.225807,0xebee0e66d85db23e24592a0412fb1275efe505b6fbc6d32966c70942cdde8038,"14987046218227329027080984029949561275408794766325730526435811581087168625932","71914038773350234130553415116948415426792971631252265695143324140554345804068","1","0"
fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,fed-interest-rates-july-2024,752276.198248,0x6a98d5d6903279a133009d8dfaef73432a77758ff4a63c391921082820cbdef2,"2955663574388335100151089034981714479605517124715864795130556110892243307868","45188797391318900757657665356653480210140000074344065807354500801374986024758","0","1"
will-the-fed-set-interest-rates-above-0pt75-after-their-scheduled-may-meeting,fed-interest-rates-may-2022,62573.429185,0x117b9f0d7af8858fb71370ce7f69367525a8797f0cb7ad3ae3031b30a61fa9c5,"101281086836928007556506250772587361148714668745548113196832489884057578630555","69564114382987778968385367502489496588406402605091360161278445983992980988582","0.9999993992274975072218997496409434","0.0000006007725024927781002503590565880672"
fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,fed-interest-rates-december-2024,13304399.0156328,0xde507497bdd5d63090dfd8e6e29167216c66576bf8d029d87c99bef4e357c696,"38346428097173219827480569765679142441985134475022627197044493217626944740372","92481279177656835916000682096856578513086238606572708354137415200556053864259","0","1"
fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,fed-interest-rates-december-2024,9192309.53167407,0x004e19d419d05dd366793689ce2af457d51bc921d9da4af867de09f0864a4305,"86514563650706195095515261507888352302856274648870425947777358797038409929767","393187152593416467531038704411056884117935492712483696646722423388090119697","0","1"
fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,fed-interest-rates-december-2024,7490697.06615098,0xa11a9c66032cbe8c607bf1b21591f65dfee9d5eb65d73cc8ad5009c1f9826fa3,"11567814642074862867749936284471148455273423515322037976014884555300111576108","104624982332232121674504890797949153940036716358905787410119507343081224145324","1","0"
no-change-in-fed-interest-rates-after-december-2024-meeting,fed-interest-rates-december-2024,7400313.75189,0x71da2bbc04a7eae0d8ef739c17025d85917c0ea7db07646b6400a4f6ccb9f304,"40486845757649539115541074089071083804261584217856121899380374870077656913924","89983112994470128441047219796153942131876246309570274784989573358312419692722","0","1"
fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,fed-interest-rates-december-2024,10228496.464075,0xb685671ec5f12410f48006fad1ec60fa1a1e19f3a5ba09a81ab45b026821252d,"2393324137012810733641772397696399325645867049692814885572335029968473203800","91317169610022160173771582465927489035536500072723283364047417194120723110757","0","1"
will-the-fed-change-rates-to-another-level-after-december-meeting,fed-interest-rates-december-2024,11155452.805379,0x3a5d8047acd8aa377956e65bd40bfafd47ff6d528559b22530fb3822bc1afbbe,"5694679073664319884145576631918820240905946179254793709670561194653852782236","26497840769140197917528188278457247259371647397731183140174723533589431863038","0","1"
fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,fed-interest-rates-november-2024,133955589.249666,0x1fc1e5595adab4d8160b2fe72cfed61131e3d5e61b5c334160d1729d7380ab16,"37607087749772082751516356212488395841221931637322106913544914381521802317192","62906346854843026600780466242595591879256731166107167021180309597980343523177","0","1"
will-the-fed-change-rates-to-another-level-after-nov-meeting,fed-interest-rates-november-2024,19150629.538967,0x61962c3f51c9c2e4f3885da88b70d3378a822830e42df02a19c7b035737515bc,"61236914812765433336602124983786929476030115582452695457552886232607113984020","33143533540708956708098159038116570406972955269074168835322036254352930411093","0","1"
fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,fed-interest-rates-november-2024,15031954.754479,0x20e2d5f8c92270e87a3f60672a67c649e781f9c2ab8b30055ce4e2fb48c458dd,"76898974139298979468235047518432628223042581890492823901295517933784245911471","47470156049256390071349262887183170287182548133136555034461701246387539288031","0","1"
no-change-in-fed-interest-rates-after-2024-november-meeting,fed-interest-rates-november-2024,7995206.758932,0x2a3a29b57597777e5d2941c419716b02a7b8c43b5c19c4ac746ae2d9c720cbe1,"99693453180573360817239647658551491302597637631928074955157125575801041271704","115507895530829847106814801322413374730674071153702449416941964748547466877722","0","1"
fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,fed-interest-rates-november-2024,8393267.791414,0xe4a9b98237a29e778ac5717e3d29220bb2f0c0370e8e3436d4a277853556355f,"72373922484601612837855188905332325479292726362975414708210444785555968287015","92249169140333714359584780039430943171728511731010101062109503186755234839359","0","1"
fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,fed-interest-rates-november-2024,5010507.074128,0x3d31558105899ab4025075b92cfb127fae4be0e9644a6895466aa50e2de37e72,"65296916822529786608589480973001109800752370083376702200697419905763894019594","78238543110592118163386456765094318511102035295303787218895510947686482016630","1","0"
will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,fed-interest-rates-july-2023,17999.656050999998,0x1e3afb4a670b4c28b8a2742ef61830023bb39809260af94908392cc7c9fdb7ca,"92020135237453536907195284129807192368680617072269422641652974288173376382819","108385365277693070090740198577596324669897099238991453926232832452421303670258","0","1"
will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,fed-interest-rates-july-2023,90868.69823499999,0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,"103021485206560835357809869099701826848947174034618735275530334969109292751452","6975999991809861958940232895743284766260716188907687944897965692448262191608","0","1"
will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,fed-interest-rates-july-2023,133986.714387,0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,"71837948105842771948801100572467514292296135260613223864156479535311093728326","37013402990873174408844323796921450411915591666243780863365987671074915517701","1","0"
will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,fed-interest-rates-september-2022,1331.207661,0x8137d425a84134010f70af5c51198b3c0b0155c34125095d12e2a9b9da13e395,"21261756861784164898332695903126353375429196634668100217027472401102808734075","1045580342814439755736990635572982609500250620317897434837387840252499131036","0.000001954127394194497933117711152507373","0.9999980458726058055020668822888475"
will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,fed-interest-rates-september-2022,423473.422814,0xb9ba5452e141e2ca056cc1e909d704273eba37dcde4eb70ae86f20a902eb3bef,"30649718793991109895369298088929962316556831898489636995154585317909137916595","87895845953292047176637234753094735201007434297306678418874128647630368548109","0.9999987906161821258572216758585779","0.000001209383817874142778324141422059021"
will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,fed-interest-rates-september-2022,25792.204752,0x6bcfad376b0836cdeea187c8578328e17511dd0295f1b6afa0b2fed368a29839,"63343939007792930621078156300535073891138946428533808447734829661979974331888","23212976027120256573985028403251012660840539403128318587638688376889240538748","0.0000003893321257514420398514682985193318","0.9999996106678742485579601485317015"
will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,fed-interest-rates-november-2022,6572.699812,0x33dde7615c372a79eb91b500f56cbdc08df8d28f27c8f1217897829fb2aef901,"11786783950838048531705734677439283592665005677593979562261080033899092676068","17138239512092168746665981106583641999511904393607834520723949221267769506032","0.000002455204557310681948844820352962685","0.999997544795442689318051155179647"
will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,fed-interest-rates-november-2022,31605.235862,0x8fcf6358347279cc27e026b0b157301f555178231901f14ab11ff1f22c29d1b7,"45766864314535154557798484023790083064511988988923313987300251891241500360924","83709554065850543680851856375249889276254678834862699513696184193798704496602","0.9999973390120207877599188820745894","0.000002660987979212240081117925410602516"
will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,fed-interest-rates-november-2022,67577.605372,0xb6a679f45b3f61821bc0326a15114f9e5c9208650535b6f36a1e916880474ac4,"33631727778532655038845096814344902282400291217352255422607636349933404313099","68911127905670424993638700298525975243447070576864739224124162411092404606212","0.0000007343337741428537358541103249177013","0.9999992656662258571462641458896751"
will-the-fed-increase-interest-rates-by-25-bps-after-its-november-meeting,fed-interest-rates-november-2022,1511.479582,0x52187ffb78a55a8939fe5fa4620e3bc9aef5eed4fa3cabb18df8933ae75189c8,"57874071884894542317749095557332063281237253532924792053060514329030034086796","59990444682492587150688381091823071349952636093128721401872040610794709891038","0.000002517145941579280677121361711255926","0.9999974828540584207193228786382887"
no-change-in-fed-interest-rates-after-june-2025-meeting,fed-decision-in-june,17021097.114837,0xffdd774123c13df21ce755bfd4f65bde47a74f1377ea73c8b130d84c59831173,"68046695472248272727543027597015771748863497493648721835081384395985280231101","76716978061000337976118775823237305754635471486273544675473025333022147209928","0.9695","0.0305"
fed-decreases-interest-rates-by-50-bps-after-june-2025-meeting,fed-decision-in-june,15077177.835174,0x834a4109dbd18f97695e4858b3a18d21fff19bc2dc7c055f18b96843ac1de17b,"113056471671080844361260106931306859817628421950685586233292833065866456177916","106470346400467790926555598933779645014104578722467391592920204737852094642121","0.0055","0.9945"
fed-decreases-interest-rates-by-25-bps-after-june-2025-meeting,fed-decision-in-june,14274304.013523,0x872c8e9a4e4808a2ab714c267bd8a93f63cb739c853d7e4de2b42009e73f9b3f,"72590024726245493077522454398168089576836207607927418208000602748203871211427","36390717936372746391289704283263123445079118730599731659392294228980748319183","0.025","0.975"
fed-increases-interest-rates-by-25-bps-after-june-2025-meeting,fed-decision-in-june,17327244.747079,0x3a92a26ce837b361bd044acc2c0b81346ad66e9a891fc5ad27b9a35e6701c6e7,"53773496600623227278718953583260706698915942265798082890170993921603893162994","1181333413366794698443015859124945447083985733455093288678334804747057699199","0.0005","0.9995"
will-the-fed-increase-interest-rates-by-50-bps-after-its-december-meeting,fed-interest-rates-december-2022,54734.010106,0x5b4ea1b3517675ca61989a0ad80bc0a24ddb8a927ade83bd8f4885102c09f402,"77306573616845012770968144916896437251906237104592651399485939679888024793899","95791679576039664931841184354483237779262296976819895799582533582233082079537","0.9997124494799740586622350624124466","0.0002875505200259413377649375875534464"
will-the-fed-increase-interest-rates-by-75-bps-after-its-december-meeting,fed-interest-rates-december-2022,35857.02918,0xfc26103ed2d7668fa4534120dc2bcdd7bafde187ae394c5e0c0c08e341e4878a,"28553679695593944716606660612973877082041481769627243072880491798008242838668","110605363229849194296848920711004750257669665610669201247325400771941033158817","0.00006817985304172593597989865240689375","0.9999318201469582740640201013475931"
will-the-fed-increase-interest-rates-by-100-bps-after-its-december-meeting,fed-interest-rates-december-2022,472.333058,0x8f520a87ba7fbddf5d701aa34817c5fabc944c91cc4c379118c05f368a762990,"17777648839992328211140543130965244199737920122205268872074993234924078072888","32473158943591077202328010167144077331137174679889121081966344059757885387487","0.00008509494838024185372244661831301223","0.999914905051619758146277553381687"
will-the-fed-increase-interest-rates-by-25-bps-after-its-december-meeting,fed-interest-rates-december-2022,3784.137195,0x3f69fe47b662e18702bc763447f31d129719530a115c11bb6bcef84542a36d90,"64214112073929340974953229924513987237847019268158332652439637902788061837869","109071788736086324279508368734560917037682714128342146822857821171852519524173","0.0001122818838982837780618234622287632","0.9998877181161017162219381765377712"
will-the-fed-raise-interest-rates-by-0-bps-after-its-september-meeting,fed-interest-rates-september-2023,56371.166093,0x2fa329f505aafb81f53e1bb4b77548101e409784811206285ce36ad10151e9ab,"70123190754218176276461522101850583945350866997322551252653457715680460590286","112716164541014829079150856560443464883834773561535527138135944219634295662177","1","0"
