event_slug,slug,marketTitle,volume,Condition,Yes,No,outcomeYes,outcomeNo
fed-interest-rates-september-2024,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,up25,17625581.465252,0x0a533c938200a10df86423dfbe621a2f36bfd4abc457615cf4992ed721c566bf,"95823178650727331613915203831778682038645976746731326695569990405131199144192","22975325364139703836483070412535421663459933235801997078698722577155796494270","0","1"
fed-decision-in-may-2025,fed-decreases-interest-rates-by-25-bps-after-may-2025-meeting,down25,21653201.774564,0xc5821602b440e61665dce5dcdc0fd20153864ba185d26a13e9be80fe98bb9e97,"26743053013371365007476551740114280533872198414218154821939946443052738700427","46427314982690900148482746737016368405968699801898624292882516041999385167082","0","1"
fed-decision-in-may-2025,fed-decreases-interest-rates-by-50-bps-after-may-2025-meeting,down50,22089574.500042,0x10bb455936cf8f22777bdb8d3a1b97760cae2215d60c15001c5d252c0f26478e,"10794957769206219547174568045572239474096710780259256507519900112979835465721","27981687390827806168890380876403949931406164510761568138358607281408331693721","0","1"
fed-decision-in-may-2025,no-change-in-fed-interest-rates-after-may-2025-meeting,noChange,20629387.641397,0xffffb2874475ae9c1e3a0e3c3c4b4e329eb3105427aa484f357bf41c5fd77c4f,"11948977256049640505529515118442328278366541768796561243240603850147585003221","37751409168070890064130120440261893477731574247683404267820510185194430319527","1","0"
fed-decision-in-may-2025,fed-increases-interest-rates-by-25-bps-after-may-2025-meeting,up25,24000661.535559,0xbf1e237a1e8cbf9c0b454dc984f5dc789f57f85b077a6a7383489b00b75dc4af,"17610439523131859020845982375845064429205150380820600510254792864187410085009","110884715026302001152302604004993790698307635767709984192944159418964296924679","0","1"
fed-interest-rates-january-2024,will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,noChange,11073.89907,0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,"59161453739548749506626935916785382180160388335096779498212302359864194982839","73186635410246392857006846302471547746435727607292452979995753918323557387952","1","0"
fed-interest-rates-january-2024,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,down25,58887.595421,0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,"7456327969315783330931352336688009175553298805923726402105094902683565728372","61261108154188554068415889997843548833290904163268333664707838611169937840545","0","1"
fed-interest-rates-january-2024,will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,up25,13148.333332,0x26000a18ec71be1c8dc92eeb52d274d561da9081bdae520968bb27f80ed453df,"51882881036400115365960749695803801468287449607744554859820244759346785471919","52523979217315432752683627714507510844376099776707024236171901768544983513386","0","1"
fed-interest-rates-december-2023,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,noChange,29458.058773,0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,"12408230057550388631927572995498874087256748510441651102756939481228298956369","6197481189033769568626680072622228905698064013605526615840685296396952665260","1","0"
fed-interest-rates-december-2023,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,up25,27152.23446,0x5d0c7869d6bbd5c926178c5ebb2c1ab1afa3e1b04bd036bcde5573481e3998c0,"115570981123842187496894360626945622467149923579919003091466749371113066796130","77552040852776799051437593597446435884981722751330016738803930489545113745822","0","1"
fed-decision-in-march,fed-decreases-interest-rates-by-50-bps-after-march-2025-meeting,down50,22150914.603213,0x5dbbf4cbb4cbca7c5967bfe92c0bd1667ac508fecb1e548c01def1a8cb43ea53,"59500043981638253528854819796350757181716737470693576068597643626706510223839","53827210122848802553752764552357021508542175671336446697980210427171312978827","0","1"
fed-decision-in-march,fed-decreases-interest-rates-by-25-bps-after-march-2025-meeting,down25,17180913.164155,0xeed6da09683149b433aeb802bd8d3f78a6b6d8799fa75bd0d73c3f87c6b2b592,"89116530978908711797607850110372348932106298082008228479003610418450546304140","31361078953599085620148709414894486777711482989707029427747081469972237802868","0","1"
fed-decision-in-march,no-change-in-fed-interest-rates-after-march-2025-meeting,noChange,17161804.938166,0xef5604329fee713a68f4faa9d3014614c7486525864a11f2ebb054179a0c362e,"36985952389507121027489287608663328433585265985125393395085818029245397624615","84404545665642736163147199311465812729929064435437776471057885230010324444001","1","0"
fed-decision-in-march,fed-increases-interest-rates-by-25-bps-after-march-2025-meeting,up25,21544318.532625,0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00,"5678441977631356096576643767219853506662704132397324700379875824610338420737","74384045717921713926851299648820414700024667426425261397803198704608838497339","0","1"
fed-interest-rates-february-2023,will-the-fed-increase-interest-rates-by-75-bps-after-its-february-meeting,up75,5413.838179,0xc420b0080de735a6d244f694bd8c5331cd48e007aa774f25551f3afc8efb8383,"92102504882721078292711727586829784891874603520563569118796610254480436864224","22836153362828487281193732321408465359429588126437449158076945857786744021301","0.000002601882357381935668341308418742422","0.9999973981176426180643316586915813"
fed-interest-rates-february-2023,will-the-fed-increase-interest-rates-by-0-bps-after-its-february-meeting,noChange,11578.306068,0x9412b855478d1dc1ba433a18de8bd082dc22b0c3a30c01f307016c2a07c11572,"50840823040491579160844190313425221953810324677596615897772385992533441988174","16798240954217468982314816692525171780336564048408465031845768835317554113348","0.0000007777373026389622226700214469472313","0.9999992222626973610377773299785531"
fed-interest-rates-february-2023,will-the-fed-increase-interest-rates-by-50-bps-after-its-february-meeting,up50,44782.055985,0x6a521500cd2c0494540dc059b3eb2f7fa5d2c91dc6f3756ba2aa7a3398aec42d,"47964004584107225500321701776265303926067511500178575227907010687520299492312","62967343644001571223328834674800489901536335509964710054658772388672665324223","0.000001812486942061523520344361786767144","0.9999981875130579384764796556382132"
fed-interest-rates-february-2023,will-the-fed-increase-interest-rates-by-25-bps-after-its-february-meeting,up25,26746.534744,0x5ef7d98e2b55953be12acc6aa5c13129bfef55a0e48b14ac0f479e08981f9bd1,"102122366921728883686007723122183182680201356871652918420191682492250640822215","1097955942803140332889254003124615337602080239229284846512443678670566232194","0.9999975187944877779585848160437913","0.000002481205512222041415183956208666719"
fed-interest-rates-january-2025,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,down75,48840781.093981,0x64123306a517e078fa636231a9cc9339a46bcfe3fadf62c92fdb031881c5d0d8,"62581913645348789773642673351236526494908268639101055154490962144556865258375","17236344785142893910230410579976386010600761811866369411443978881334968280338","0","1"
fed-interest-rates-january-2025,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,down50,42815445.766141,0x7883a3c40bb01cbd3b9ec9e3b73d75af705e300c9369f27178739cf3f4fa089a,"70018807773238020915361161897719073078804647330583488591369599275024873820020","38040810336402647860524961857216751324740229233874430685472918943584669196682","0","1"
fed-interest-rates-january-2025,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,down25,21247359.999879,0xf48f79d8e60ab1efa76e53bec8c005611bfdc097cc0e51dc2f612709c04f5acf,"74385256365261740991943052404976663449426970722774337626179714294936780155816","43676459548019945544891306427721605369693078423952852640943584984070260281567","0","1"
fed-interest-rates-january-2025,no-change-in-fed-interest-rates-after-january-2025-meeting,noChange,21033386.279391,0x4e0f29885709d63bfcff29e80f4a8df1da9e97906ba9e21577b46a70858d8e06,"71366065379283985882048015988468347304730977557386250301113872372802573107404","64300364193031824587552769823493469778718733602447265999703025404994006979266","1","0"
fed-interest-rates-january-2025,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,up25,56978076.059909,0x04e07c6085d96ecc1ac7568d6cb640f09e4d300a25afc763b67f15d8f2c8597c,"21716925607100566759590441552275430953978834416391952294923382480845557169897","111910413422671918936122538535145431385909364082485858588595246969087543566638","0","1"
fed-interest-rates-july-2024,fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,down50,637520.066414,0x5b544e761863106ba78a3380ad72a06a0fa65e61daabf31dae7da443af129edc,"58489327197666729130888438447784692458397801742406884624482733019916335006485","59554035272971465220854776043160935814088961373397843604502416345214415162662","0","1"
fed-interest-rates-july-2024,fed-decreases-interest-rates-by-25-bps-after-july-2024-meeting,down25,884827.576621,0x813e44dd1717ed1e1ccfa5f67b5e4d681f7a91cf12dfd8278608698f03b0f89d,"50006978152563856399785875225610673770033700288568382341623864478358375869194","56980038021693126179388145467467043305943982958663020089701063423381899122993","0","1"
fed-interest-rates-july-2024,no-change-in-fed-interest-rates-after-2024-july-meeting,noChange,517320.225807,0xebee0e66d85db23e24592a0412fb1275efe505b6fbc6d32966c70942cdde8038,"14987046218227329027080984029949561275408794766325730526435811581087168625932","71914038773350234130553415116948415426792971631252265695143324140554345804068","1","0"
fed-interest-rates-july-2024,fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,up25,752276.198248,0x6a98d5d6903279a133009d8dfaef73432a77758ff4a63c391921082820cbdef2,"2955663574388335100151089034981714479605517124715864795130556110892243307868","45188797391318900757657665356653480210140000074344065807354500801374986024758","0","1"
